alert_id,alert_type,severity,related_sku,related_location,related_supplier,message,created_at,resolved,resolved_at
ALT-300000,LOW_STOCK,CRITICAL,SKU-00332,LOC-020,,Low Stock — review required (0),2026-07-17T07:37:46,false,
ALT-300001,SUPPLIER_RISK,CRITICAL,,,SUP-134,Supplier Risk — review required (1),2026-07-06T18:37:46,false,
ALT-300002,EXPIRY_WARNING,CRITICAL,SKU-00022,,,Expiry Warning — review required (2),2026-07-07T16:37:46,false,
ALT-300003,EXPIRY_WARNING,HIGH,SKU-00223,,,Expiry Warning — review required (3),2026-07-23T05:37:46,false,
ALT-300004,SHIPMENT_DELAY,HIGH,,,,Shipment Delay — review required (4),2026-07-26T04:37:46,true,2026-07-27T14:37:46.555489
ALT-300005,SHIPMENT_DELAY,HIGH,,,,Shipment Delay — review required (5),2026-07-01T17:37:46,false,
ALT-300006,CAPACITY_WARNING,HIGH,,LOC-004,,Capacity Warning — review required (6),2026-07-26T04:37:46,false,
ALT-300007,LOW_STOCK,HIGH,SKU-00363,LOC-013,,Low Stock — review required (7),2026-07-30T15:37:46,false,
ALT-300008,SHIPMENT_DELAY,HIGH,,,,Shipment Delay — review required (8),2026-07-07T14:37:46,true,2026-07-09T07:37:46.555489
ALT-300009,AUDIT_DUE,HIGH,,,SUP-135,Audit Due — review required (9),2026-07-09T19:37:46,false,
ALT-300010,AUDIT_DUE,HIGH,,,SUP-195,Audit Due — review required (10),2026-07-03T02:37:46,true,2026-07-03T09:37:46.555489
ALT-300011,SHIPMENT_DELAY,HIGH,,,,Shipment Delay — review required (11),2026-07-22T19:37:46,true,2026-07-23T02:37:46.555489
ALT-300012,SUPPLIER_RISK,HIGH,,,SUP-054,Supplier Risk — review required (12),2026-07-14T12:37:46,true,2026-07-15T20:37:46.555489
ALT-300013,SUPPLIER_RISK,HIGH,,,SUP-134,Supplier Risk — review required (13),2026-07-22T11:37:46,false,
ALT-300014,LOW_STOCK,HIGH,SKU-00281,LOC-015,,Low Stock — review required (14),2026-07-11T14:37:46,false,
ALT-300015,EXPIRY_WARNING,HIGH,SKU-00144,,,Expiry Warning — review required (15),2026-07-19T01:37:46,false,
ALT-300016,AUDIT_DUE,HIGH,,,SUP-181,Audit Due — review required (16),2026-07-21T19:37:46,false,
ALT-300017,SHIPMENT_DELAY,MEDIUM,,,,Shipment Delay — review required (17),2026-07-16T12:37:46,true,2026-07-16T19:37:46.555489
