alert_id,alert_type,severity,related_sku,related_location,related_supplier,message,created_at,resolved,resolved_at
ALT-300000,SUPPLIER_RISK,CRITICAL,,,SUP-042,Supplier Risk — review required (0),2026-06-18T21:12:26,false,
ALT-300001,LOW_STOCK,CRITICAL,SKU-00192,LOC-020,,Low Stock — review required (1),2026-06-24T01:12:26,false,
ALT-300002,LOW_STOCK,CRITICAL,SKU-00267,LOC-014,,Low Stock — review required (2),2026-05-27T14:12:26,false,
ALT-300003,SHIPMENT_DELAY,HIGH,,,,Shipment Delay — review required (3),2026-06-15T08:12:26,true,2026-06-17T06:12:26.286150
ALT-300004,EXPIRY_WARNING,HIGH,SKU-00395,,,Expiry Warning — review required (4),2026-06-07T23:12:26,true,2026-06-08T20:12:26.286150
ALT-300005,CAPACITY_WARNING,HIGH,,LOC-014,,Capacity Warning — review required (5),2026-05-27T00:12:26,false,
ALT-300006,LOW_STOCK,high,SKU-00220,LOC-018,,Low Stock — review required (6),2026-06-21T11:12:26,false,
ALT-300007,CAPACITY_WARNING,high,,LOC-015,,Capacity Warning — review required (7),2026-06-03T16:12:26,false,
ALT-300008,SUPPLIER_RISK,HIGH,,,SUP-175,Supplier Risk — review required (8),2026-06-09T19:12:26,true,2026-06-11T00:12:26.286150
ALT-300009,SHIPMENT_DELAY,HIGH,,,,Shipment Delay — review required (9),2026-06-09T05:12:26,false,
ALT-300010,EXPIRY_WARNING,HIGH,SKU-00118,,,Expiry Warning — review required (10),2026-06-24T21:12:26,true,2026-06-26T19:12:26.286150
ALT-300011,LOW_STOCK,HIGH,SKU-00054,LOC-019,,Low Stock — review required (11),2026-06-11T15:12:26,false,
ALT-300012,LOW_STOCK,HIGH,SKU-00143,LOC-017,,Low Stock — review required (12),2026-06-13T12:12:26,false,
ALT-300013,EXPIRY_WARNING,HIGH,SKU-00453,,,Expiry Warning — review required (13),2026-06-06T17:12:26,false,
ALT-300014,LOW_STOCK,HIGH,SKU-00131,LOC-008,,Low Stock — review required (14),2026-06-05T11:12:26,true,2026-06-05T12:12:26.286150
ALT-300015,CAPACITY_WARNING,HIGH,,LOC-003,,Capacity Warning — review required (15),2026-06-15T23:12:26,true,2026-06-17T08:12:26.286150
ALT-300016,LOW_STOCK,LOW,SKU-00194,LOC-017,,Low Stock — review required (16),2026-06-10T06:12:26,false,
ALT-300017,AUDIT_DUE,LOW,,,SUP-012,Audit Due — review required (17),2026-06-17T10:12:26,false,
ALT-300018,AUDIT_DUE,HIGH,,,SUP-062,Audit Due — review required (18),2026-06-02T23:12:26,false,
ALT-300019,LOW_STOCK,CRITICAL,SKU-00472,LOC-007,,Low Stock — review required (19),2026-06-01T23:12:26,false,
ALT-300020,SUPPLIER_RISK,LOW,,,SUP-081,Supplier Risk — review required (20),2026-06-07T07:12:26,false,
ALT-300021,SHIPMENT_DELAY,HIGH,,,,Shipment Delay — review required (21),2026-05-28T19:12:26,false,
ALT-300022,EXPIRY_WARNING,HIGH,SKU-00444,,,Expiry Warning — review required (22),2026-06-02T10:12:26,false,
ALT-300023,SHIPMENT_DELAY,HIGH,,,,Shipment Delay — review required (23),2026-06-24T11:12:26,false,
ALT-300024,LOW_STOCK,CRITICAL,SKU-00214,LOC-016,,Low Stock — review required (24),2026-06-02T06:12:26,false,
ALT-300025,AUDIT_DUE,MEDIUM,,,SUP-029,Audit Due — review required (25),2026-06-12T03:12:26,false,
ALT-300026,CAPACITY_WARNING,medium,,LOC-003,,Capacity Warning — review required (26),2026-05-29T22:12:26,true,2026-05-30T06:12:26.286150
ALT-300027,CAPACITY_WARNING,medium,,LOC-017,,Capacity Warning — review required (27),2026-06-01T09:12:26,false,
ALT-300028,SHIPMENT_DELAY,HIGH,,,,Shipment Delay — review required (28),2026-06-25T18:12:26,false,
ALT-300029,LOW_STOCK,MEDIUM,SKU-00051,LOC-017,,Low Stock — review required (29),2026-06-02T23:12:26,false,
ALT-300030,SHIPMENT_DELAY,MEDIUM,,,,Shipment Delay — review required (30),2026-06-08T20:12:26,false,
ALT-300031,CAPACITY_WARNING,CRITICAL,,LOC-013,,Capacity Warning — review required (31),2026-06-11T14:12:26,false,
ALT-300032,AUDIT_DUE,MEDIUM,,,SUP-180,Audit Due — review required (32),2026-06-03T19:12:26,true,2026-06-05T06:12:26.286150
ALT-300033,SUPPLIER_RISK,critical,,,SUP-059,Supplier Risk — review required (33),2026-06-11T10:12:26,false,
ALT-300034,SUPPLIER_RISK,high,,,SUP-199,Supplier Risk — review required (34),2026-06-04T16:12:26,true,2026-06-05T03:12:26.286150
ALT-300035,CAPACITY_WARNING,LOW,,LOC-018,,Capacity Warning — review required (35),2026-06-10T00:12:26,false,
ALT-300036,EXPIRY_WARNING,HIGH,SKU-00300,,,Expiry Warning — review required (36),2026-06-09T03:12:26,false,
ALT-300037,AUDIT_DUE,CRITICAL,,,SUP-118,Audit Due — review required (37),2026-06-20T13:12:26,true,2026-06-21T07:12:26.286150
ALT-300038,CAPACITY_WARNING,HIGH,,LOC-007,,Capacity Warning — review required (38),2026-06-22T12:12:26,false,
ALT-300039,EXPIRY_WARNING,HIGH,SKU-00256,,,Expiry Warning — review required (39),2026-06-15T22:12:26,false,
ALT-300040,AUDIT_DUE,MEDIUM,,,SUP-074,Audit Due — review required (40),2026-05-27T22:12:26,true,2026-05-29T17:12:26.286150
ALT-300041,CAPACITY_WARNING,CRITICAL,,LOC-010,,Capacity Warning — review required (41),2026-06-10T10:12:26,true,2026-06-11T15:12:26.286150
ALT-300042,AUDIT_DUE,CRITICAL,,,SUP-018,Audit Due — review required (42),2026-06-20T11:12:26,true,2026-06-22T11:12:26.286150
ALT-300043,SUPPLIER_RISK,medium,,,SUP-067,Supplier Risk — review required (43),2026-06-13T12:12:26,true,2026-06-13T15:12:26.286150
ALT-300044,SHIPMENT_DELAY,LOW,,,,Shipment Delay — review required (44),2026-06-20T23:12:26,true,2026-06-22T16:12:26.286150
