sku,sku_name,category,supplier_id,location_id,storage_bin,quantity_kg,reorder_level_kg,unit_cost_myr,last_restocked,expiry_date,is_hazardous
SKU-90001,Industrial Solvent 5L,CHEMICALS,SUP-001,LOC-001,WH-A-SEED-01,2.0,15.0,110.16,2026-05-13,,false
SKU-90002,Shrink Wrap Film Roll,ELECTRONICS,SUP-002,LOC-001,WH-A-SEED-02,5.0,20.0,91.44,2026-05-16,,false
SKU-90003,Nitrile Gloves Box,FOOD_DRY,SUP-003,LOC-001,WH-A-SEED-03,1.0,12.0,107.06,2026-05-10,,false
SKU-90004,Dust Mask N95 Pack,FOOD_COLD,SUP-004,LOC-001,WH-A-SEED-04,4.0,25.0,168.71,2026-05-19,,false
SKU-90005,Spill Kit 20L,PACKAGING,SUP-005,LOC-001,WH-A-SEED-05,1.0,8.0,243.79,2026-06-17,,false
SKU-90006,First Aid Refill,MACHINERY_PARTS,SUP-006,LOC-001,WH-A-SEED-06,6.0,18.0,238.58,2026-05-18,,false
SKU-90007,Stretch Hood Film,PPE,SUP-007,LOC-001,WH-A-SEED-07,7.0,30.0,129.30,2026-05-20,,false
SKU-90008,Humidity Sensor Probe,CLEANING,SUP-008,LOC-001,WH-A-SEED-08,2.0,10.0,140.77,2026-05-28,,false
SKU-00009,Dock Leveler Seal,MEDICAL,SUP-012,LOC-016,WH-P-BIN-09,218.0,40.0,277.15,2026-01-08,2026-08-29,false
SKU-00010,LED Warehouse Light,RAW_MATERIALS,SUP-198,LOC-004,WH-D-BIN-10,396.0,30.0,272.16,2026-01-12,,false
SKU-00011,Nitrile Gloves Box,CHEMICALS,SUP-200,Warehouse F,WH-F-BIN-11,257.0,40.0,52.35,2026-02-28,2026-10-03,true
SKU-00012,Pallet Jack Wheel,ELECTRONICS,SUP-012,LOC-007,WH-G-BIN-12,122.0,0.0,319.78,2026-02-06,,false
SKU-00013,,FOOD_DRY,SUP-065,LOC-016,WH-P-BIN-13,405.0,10.0,40.15,2026-01-09,,false
SKU-00014,Fire Extinguisher 4kg,FOOD_COLD,SUP-070,LOC-011,WH-K-BIN-14,429.0,10.0,715.92,2026-03-19,,false
SKU-00015,PVC Pipe 50mm,PACKAGING,SUP-048,LOC-011,WH-K-BIN-15,374.0,25.0,641.32,2026-03-09,,false
SKU-00016,Rubber Gasket Set,MACHINERY_PARTS,SUP-111,LOC-003,WH-C-BIN-16,10.0,30.0,237.92,2026-03-03,2027-06-29,false
SKU-00017,Cable Tie Assorted,PPE,SUP-184,LOC-020,WH-T-BIN-17,105.0,25.0,492.65,2026-03-06,2027-01-22,false
SKU-00018,Dust Mask N95 Pack,CLEANING,SUP-164,LOC-009,WH-I-BIN-18,7.0,21.0,129.67,2026-06-18,,false
SKU-00019,Wooden Pallet Std,MEDICAL,SUP-156,LOC-005,WH-E-BIN-19,420.0,40.0,294.33,2026-03-19,2027-06-21,false
SKU-00020,,RAW_MATERIALS,SUP-009,LOC-019,WH-S-BIN-20,98.0,30.0,610.94,2026-01-30,,false
SKU-00021,Hand Truck,CHEMICALS,SUP-136,LOC-005,WH-E-BIN-21,223.0,20.0,22.68,2026-05-09,,false
SKU-00022,Spill Kit 20L,ELECTRONICS,SUP-144,LOC-013,WH-M-BIN-22,154.0,10.0,229.89,2026-02-20,2027-06-04,false
SKU-00023,Epoxy Resin 1L,FOOD_DRY,SUP-032,LOC-007,WH-G-BIN-23,3.0,15.0,72.06,2026-01-02,,false
SKU-00024,Chain Block 1T,FOOD_COLD,SUP-171,LOC-011,WH-K-BIN-24,18.0,20.0,127.69,2025-12-28,,false
SKU-00025,,PACKAGING,SUP-093,LOC-006,WH-F-BIN-25,7.0,30.0,22.97,2026-02-04,2027-04-04,false
SKU-00026,Anti-Slip Tape Roll,MACHINERY_PARTS,SUP-095,LOC-019,WH-S-BIN-26,431.0,0,54.47,2026-03-16,,false
SKU-00027,Welding Rod 3.2mm,PPE,SUP-135,LOC-016,WH-P-BIN-27,413.0,25.0,514.59,2026-03-02,2027-01-04,false
SKU-00028,Compressed Air Hose,CLEANING,SUP-175,LOC-015,WH-O-BIN-28,27.0,30.0,147.21,2026-05-23,,false
SKU-00029,First Aid Refill,MEDICAL,SUP-129,LOC-014,WH-N-BIN-29,48.0,0.0,131.25,2026-04-29,,false
SKU-00030,Racking Beam 2.4m,RAW_MATERIALS,SUP-133,LOC-012,WH-L-BIN-30,7.0,20.0,101.89,2026-04-09,,false
