sku,sku_name,category,supplier_id,location_id,storage_bin,quantity_kg,reorder_level_kg,unit_cost_myr,last_restocked,expiry_date,is_hazardous
SKU-90001,Industrial Solvent 5L,CHEMICALS,SUP-001,LOC-001,WH-A-SEED-01,2.0,15.0,110.16,May 03 2026,,false
SKU-90002,Shrink Wrap Film Roll,ELECTRONICS,SUP-002,LOC-001,WH-A-SEED-02,5.0kg,20.0,91.44,May 06 2026,,false
SKU-90003,Nitrile Gloves Box,FOOD_DRY,SUP-003,LOC-001,WH-A-SEED-03,1.0,12.0,107.06,30/04/2026,,false
SKU-90004,Dust Mask N95 Pack,FOOD_COLD,SUP-004,WH-A,WH-A-SEED-04,4.0 KG,25.0,168.71,2026-05-09,,false
SKU-90005,Spill Kit 20L,PACKAGING,SUP-005,LOC-001,WH-A-SEED-05,1.0kg,8.0,243.79,2026-06-07,,false
SKU-90006,First Aid Refill,MACHINERY_PARTS,SUP-006,LOC-001,WH-A-SEED-06,6.0kilogram,18.0,238.58,2026-05-08,,false
SKU-90007,Stretch Hood Film,PPE,SUP-007,LOC-001,WH-A-SEED-07,7.0,30.0,129.30,2026-05-10,,false
SKU-90008,Humidity Sensor Probe,CLEANING,SUP-008,LOC-001,WH-A-SEED-08,2.0 KG,10.0,140.77,2026-05-18,,false
SKU-00009,Dock Leveler Seal,MEDICAL,SUP-012,LOC-016,WH-P-BIN-09,218.0,40,277.15,Dec 29 2025,19/08/2026,false
SKU-00010,LED Warehouse Light,RAW_MATERIALS,SUP-198,LOC-004,WH-D-BIN-10,396.0,30,272.16,Jan 02 2026,,false
SKU-00011,Nitrile Gloves Box,CHEMICALS,SUP-200,Warehouse F,WH-F-BIN-11,257.0 KG,40,52.35,18/02/2026,2026-09-23,true
SKU-00012,Pallet Jack Wheel,ELECTRONICS,SUP-012,WH-G,WH-G-BIN-12,122.0kilogram,0,319.78,2026-01-27,,false
SKU-00013,,FOOD_DRY,SUP-065,LOC-016,WH-P-BIN-13,405.0kg,10,40.15,30/12/2025,,false
SKU-00014,Fire Extinguisher 4kg,FOOD_COLD,SUP-070,LOC-011,WH-K-BIN-14,429.0,10,715.92,Mar 09 2026,,false
SKU-00015,PVC Pipe 50mm,PACKAGING,SUP-048,LOC-011,WH-K-BIN-15,374.0kg,25,641.32,2026-02-27,,false
SKU-00016,Rubber Gasket Set,MACHINERY_PARTS,SUP-111,WH-C,WH-C-BIN-16,10.0 KG,30,237.92,Feb 21 2026,2027-06-19,false
SKU-00017,Cable Tie Assorted,PPE,SUP-184,LOC-020,WH-T-BIN-17,105.0kg,25,492.65,24/02/2026,2027-01-12,false
SKU-00018,Dust Mask N95 Pack,CLEANING,SUP-164,wh-i,WH-I-BIN-18,7.0 KG,21,129.67,08/06/2026,,false
SKU-00019,Wooden Pallet Std,MEDICAL,SUP-156,LOC-005,WH-E-BIN-19,420.0 KG,40,294.33,09/03/2026,11/06/2027,false
SKU-00020,,RAW_MATERIALS,SUP-009,wh_s,WH-S-BIN-20,98.0kilogram,30,610.94,Jan 20 2026,,false
SKU-00021,Hand Truck,CHEMICALS,SUP-136,LOC-005,WH-E-BIN-21,223.0,20,22.68,29/04/2026,,false
SKU-00022,Spill Kit 20L,ELECTRONICS,SUP-144,LOC-013,WH-M-BIN-22,154.0kg,10,229.89,10/02/2026,May 25 2027,false
SKU-00023,Epoxy Resin 1L,FOOD_DRY,SUP-032,LOC-007,WH-G-BIN-23,3.0kilogram,15,72.06,23/12/2025,,false
SKU-00024,Chain Block 1T,FOOD_COLD,SUP-171,LOC-011,WH-K-BIN-24,18.0kilogram,20,127.69,18/12/2025,,false
SKU-00025,,PACKAGING,SUP-093,LOC-006,WH-F-BIN-25,7.0,30,22.97,25/01/2026,2027-03-25,false
SKU-00026,Anti-Slip Tape Roll,MACHINERY_PARTS,SUP-095,LOC-019,WH-S-BIN-26,431.0kg,,54.47,2026-03-06,,false
