shipment_id,sku,supplier_id,destination_location_id,quantity_kg,status,expected_arrival,actual_arrival,carrier,tracking_number,cost_myr
SHP-100000,SKU-00421,SUP-098,LOC-006,53,DELAYED,2026-07-21,,GDEX,TRK1303282223,3836.03
SHP-100001,SKU-00259,SUP-048,LOC-002,47,DELAYED,2026-07-28,,DHL MY,TRK7195251392,2402.86
SHP-100002,SKU-00390,SUP-188,LOC-010,80,DELAYED,2026-07-26,,City-Link,TRK5761211029,775.00
SHP-100003,SKU-00334,SUP-081,LOC-014,41,DELAYED,2026-07-24,,J&T Express,TRK5530351244,2049.20
SHP-100004,SKU-00018,SUP-185,LOC-001,161,DELAYED,2026-07-28,,J&T Express,TRK9159460149,4471.18
SHP-100005,SKU-00446,SUP-092,LOC-001,320,DELAYED,2026-07-27,,TNT Malaysia,TRK3271713645,2337.92
SHP-100006,SKU-00005,SUP-098,LOC-013,257,DELAYED,2026-07-27,,J&T Express,TRK8421044439,4559.42
SHP-100007,SKU-00020,SUP-198,LOC-010,252,DELAYED,2026-07-28,,DHL MY,TRK3971298628,922.01
SHP-100008,SKU-00054,SUP-164,LOC-016,73,DELAYED,2026-07-29,,TNT Malaysia,TRK3167530715,2161.97
SHP-100009,SKU-00366,SUP-072,LOC-006,241,DELAYED,2026-07-22,,J&T Express,TRK9904578610,1592.57
SHP-100010,SKU-00031,SUP-105,LOC-002,438,DELAYED,2026-07-28,,J&T Express,TRK6785262421,4820.55
SHP-100011,SKU-00264,SUP-076,LOC-001,246,DELAYED,2026-07-24,,GDEX,TRK5910011251,3966.33
SHP-100012,SKU-00277,SUP-069,LOC-017,198,DELAYED,2026-07-30,,GDEX,TRK6479962022,417.45
SHP-100013,SKU-00229,SUP-101,LOC-012,383,DELAYED,2026-07-22,,J&T Express,TRK9128528950,394.34
SHP-100014,SKU-00494,SUP-087,LOC-001,410,DELAYED,2026-07-25,,GDEX,TRK3157470322,3659.77
SHP-100015,SKU-00215,SUP-193,LOC-014,8,DELAYED,2026-07-23,,Pos Laju,TRK7791463161,4994.45
SHP-100016,SKU-00136,SUP-170,LOC-005,69,DELAYED,2026-07-24,,J&T Express,TRK5261873693,2030.13
SHP-100017,SKU-00192,SUP-173,LOC-008,420,DELAYED,2026-07-27,,J&T Express,TRK6161112188,1508.39
SHP-100018,SKU-00351,SUP-167,LOC-012,14,DELAYED,2026-07-21,,City-Link,TRK8783945481,1134.33
SHP-100019,SKU-00171,SUP-155,LOC-012,423,DELAYED,2026-07-26,,Pos Laju,TRK1167936422,1423.89
SHP-100020,SKU-00123,SUP-192,LOC-003,334,DELAYED,2026-07-24,,J&T Express,TRK8576810359,112.78
SHP-100021,SKU-00221,SUP-012,LOC-017,85,DELAYED,2026-07-21,,TNT Malaysia,TRK2121139613,2916.97
SHP-100022,SKU-00113,SUP-022,LOC-017,131,DELAYED,2026-07-22,,GDEX,TRK3100724819,884.37
SHP-100023,SKU-00380,SUP-139,LOC-014,87,DELAYED,2026-07-30,,DHL MY,TRK5697462236,3092.05
SHP-100024,SKU-00178,SUP-090,LOC-013,343,DELAYED,2026-07-21,,Pos Laju,TRK4000827022,4832.83
SHP-100025,SKU-00044,SUP-190,LOC-003,290,DELAYED,2026-07-27,,GDEX,TRK6917830408,3821.09
SHP-100026,SKU-00471,SUP-073,LOC-010,243,DELAYED,2026-07-26,,TNT Malaysia,TRK2211086218,309.61
SHP-100027,SKU-00440,SUP-111,LOC-005,420,DELAYED,2026-07-26,,City-Link,TRK8736580025,2199.51
SHP-100028,SKU-00155,SUP-028,LOC-003,292,DELAYED,2026-07-24,,TNT Malaysia,TRK9604327340,4901.45
SHP-100029,SKU-00048,SUP-095,LOC-002,439,DELAYED,2026-07-23,,J&T Express,TRK2793209525,3824.00
SHP-100030,SKU-00351,SUP-121,LOC-003,200,DELAYED,2026-07-21,,Pos Laju,TRK7993719199,1176.23
SHP-100031,SKU-00288,SUP-139,LOC-010,311,DELAYED,2026-07-23,,J&T Express,TRK4005904067,4726.93
SHP-100032,SKU-00169,SUP-004,LOC-007,223,DELAYED,2026-07-21,,DHL MY,TRK7806157595,2006.58
SHP-100033,SKU-00109,SUP-028,LOC-005,339,DELAYED,2026-07-25,,J&T Express,TRK7595348091,1016.88
