txn_id,sku,location_id,txn_type,quantity_kg,unit_cost_myr,operator_id,timestamp,reference_doc
TXN-200000,SKU-00296,LOC-003,OUT,34.0,93.94,OP-037,2026-05-23T14:43:13,DOC-2128
TXN-200001,SKU-00109,LOC-004,IN,64.0,542.01,OP-034,2026-05-25T13:43:13,DOC-3828
TXN-200002,SKU-00293,LOC-015,IN,199.0,740.50,OP-018,2026-05-27T14:43:13,DOC-1559
TXN-200003,SKU-00340,LOC-018,OUT,158.0,618.94,OP-020,2026-06-13T07:43:13,DOC-8243
TXN-200004,SKU-00028,LOC-009,OUT,150.0,441.70,OP-014,2026-05-23T20:43:13,DOC-6020
TXN-200005,SKU-00358,LOC-009,OUT,176.0,256.21,OP-048,2026-05-23T00:43:13,
TXN-200006,SKU-00473,LOC-002,IN,74.0,229.30,OP-005,2026-06-04T23:43:13,DOC-5467
TXN-200007,SKU-00468,LOC-018,OUT,29.0,780.95,OP-038,2026-06-12T18:43:13,DOC-2093
TXN-200008,SKU-00151,LOC-007,IN,166.0,260.27,OP-043,2026-05-17T15:43:13,DOC-2648
TXN-200009,SKU-00206,LOC-011,OUT,48.0,512.13,OP-042,2026-06-04T23:43:13,
TXN-200010,SKU-00230,LOC-018,ADJUST,156.0,610.49,OP-036,2026-05-25T06:43:13,DOC-2962
TXN-200011,SKU-00348,LOC-013,OUT,47.0,475.93,OP-041,2026-06-07T22:43:13,
TXN-200012,SKU-00325,LOC-010,IN,35.0,678.78,OP-032,2026-06-15T09:43:13,
TXN-200013,SKU-00383,LOC-006,OUT,26.0,530.05,OP-029,2026-05-30T09:43:13,DOC-5740
TXN-200014,SKU-00334,LOC-003,OUT,20.0,224.76,OP-023,2026-06-01T20:43:13,
TXN-200015,SKU-00474,LOC-010,WRITE_OFF,163.0,472.37,OP-038,2026-05-20T19:43:13,DOC-7923
TXN-200016,SKU-00290,LOC-014,IN,187.0,438.91,OP-032,2026-05-26T03:43:13,
TXN-200017,SKU-00470,LOC-011,IN,3.0,81.31,OP-035,2026-06-03T07:43:13,DOC-2662
TXN-200018,SKU-00280,LOC-001,WRITE_OFF,121.0,14.21,OP-010,2026-05-17T04:43:13,DOC-3897
TXN-200019,SKU-00177,LOC-015,ADJUST,94.0,422.95,OP-015,2026-05-29T11:43:13,
TXN-200020,SKU-00408,LOC-013,OUT,22.0,243.59,OP-025,2026-05-31T02:43:13,DOC-4535
