txn_id,sku,location_id,txn_type,quantity_kg,unit_cost_myr,operator_id,timestamp,reference_doc
TXN-200000,SKU-00296,LOC-003,OUT,34.0kilogram,93.94,OP-037,2026-06-02T12:12:26,DOC-2128
TXN-200001,SKU-00109,LOC-004,IN,64.0,542.01,OP-034,2026-06-04T11:12:26,DOC-3828
TXN-200002,SKU-00293,LOC-015,IN,199.0kg,740.50,OP-018,2026-06-06T12:12:26,DOC-1559
TXN-200003,SKU-00340,LOC-018,OUT,158.0,618.94,OP-020,2026-06-23T05:12:26,DOC-8243
TXN-200004,SKU-00028,LOC-009,OUT,150.0kg,441.70,OP-014,2026-06-02T18:12:26,DOC-6020
TXN-200005,SKU-00358,LOC-009,OUT,176.0,256.21,OP-048,2026-06-01T22:12:26,
TXN-200006,SKU-00473,LOC-002,IN,74.0,229.30,OP-005,2026-06-14T21:12:26,DOC-5467
TXN-200007,SKU-00468,LOC-018,OUT,29.0 KG,780.95,OP-038,2026-06-22T16:12:26,DOC-2093
TXN-200008,SKU-00151,LOC-007,IN,166.0kilogram,260.27,OP-043,2026-05-27T13:12:26,DOC-2648
TXN-200009,SKU-00206,LOC-011,OUT,48.0kilogram,512.13,OP-042,2026-06-14T21:12:26,
TXN-200010,SKU-00230,LOC-018,ADJUST,156.0 KG,610.49,OP-036,2026-06-04T04:12:26,DOC-2962
TXN-200011,SKU-00348,LOC-013,OUT,47.0kg,475.93,OP-041,2026-06-17T20:12:26,
TXN-200012,SKU-00325,LOC-010,IN,35.0 KG,678.78,OP-032,2026-06-25T07:12:26,
TXN-200013,SKU-00383,LOC-006,OUT,26.0 KG,530.05,OP-029,2026-06-09T07:12:26,DOC-5740
TXN-200014,SKU-00334,LOC-003,OUT,20.0,224.76,OP-023,2026-06-11T18:12:26,
TXN-200015,SKU-00474,LOC-010,WRITE_OFF,163.0kilogram,472.37,OP-038,2026-05-30T17:12:26,DOC-7923
TXN-200016,SKU-00290,LOC-014,IN,187.0kg,438.91,OP-032,2026-06-05T01:12:26,
TXN-200017,SKU-00470,LOC-011,IN,3.0kg,81.31,OP-035,2026-06-13T05:12:26,DOC-2662
TXN-200018,SKU-00280,LOC-001,WRITE_OFF,121.0,14.21,OP-010,2026-05-27T02:12:26,DOC-3897
TXN-200019,SKU-00177,LOC-015,ADJUST,94.0kg,422.95,OP-015,2026-06-08T09:12:26,
TXN-200020,SKU-00408,LOC-013,OUT,22.0kilogram,243.59,OP-025,2026-06-10T00:12:26,DOC-4535
TXN-200021,SKU-00147,LOC-010,ADJUST,167.0,604.07,OP-005,2026-06-18T17:12:26,DOC-6169
TXN-200022,SKU-00217,LOC-011,OUT,117.0kg,668.11,OP-021,2026-06-12T03:12:26,DOC-5895
TXN-200023,SKU-00203,LOC-010,OUT,126.0kg,461.71,OP-004,2026-06-17T17:12:26,DOC-9372
TXN-200024,SKU-00033,LOC-008,ADJUST,149.0kilogram,416.13,OP-011,2026-06-07T13:12:26,DOC-8773
TXN-200025,SKU-00460,LOC-019,ADJUST,154.0,577.02,OP-024,2026-06-23T08:12:26,DOC-2207
TXN-200026,SKU-00416,LOC-010,OUT,105.0kg,639.60,OP-007,2026-06-22T15:12:26,DOC-1589
TXN-200027,SKU-00103,LOC-014,IN,113.0,212.39,OP-012,2026-06-23T06:12:26,DOC-9176
TXN-200028,SKU-00018,LOC-018,OUT,100.0 KG,607.31,OP-008,2026-05-31T14:12:26,
TXN-200029,SKU-00198,LOC-009,OUT,23.0,39.97,OP-030,2026-06-03T14:12:26,DOC-9374
TXN-200030,SKU-00244,LOC-009,OUT,131.0kilogram,283.85,OP-011,2026-06-23T10:12:26,DOC-1482
TXN-200031,SKU-00202,LOC-010,OUT,28.0,617.22,OP-023,2026-06-19T14:12:26,DOC-5723
TXN-200032,SKU-00298,LOC-008,IN,111.0,178.19,OP-014,2026-06-05T16:12:26,
TXN-200033,SKU-00390,LOC-018,OUT,37.0 KG,241.83,OP-025,2026-05-30T22:12:26,DOC-1475
TXN-200034,SKU-00495,LOC-005,IN,165.0kg,623.58,OP-008,2026-06-20T18:12:26,DOC-2499
TXN-200035,SKU-00186,LOC-013,ADJUST,122.0kg,750.30,OP-006,2026-06-10T23:12:26,
TXN-200036,SKU-00080,LOC-011,OUT,28.0kg,353.93,OP-025,2026-05-28T15:12:26,DOC-3780
TXN-200037,SKU-00187,LOC-016,IN,121.0kilogram,71.15,OP-027,2026-06-10T15:12:26,DOC-5509
TXN-200038,SKU-00353,LOC-011,IN,69.0kilogram,253.63,OP-048,2026-06-06T18:12:26,
TXN-200039,SKU-00230,LOC-007,ADJUST,134.0kilogram,142.49,OP-006,2026-06-07T06:12:26,
TXN-200040,SKU-00493,LOC-020,OUT,13.0kilogram,99.12,OP-026,2026-06-25T00:12:26,DOC-9504
TXN-200041,SKU-00403,LOC-012,OUT,196.0,748.32,OP-012,2026-06-03T11:12:26,DOC-5820
TXN-200042,SKU-00163,LOC-014,ADJUST,155.0,472.89,OP-018,2026-06-23T15:12:26,DOC-1583
TXN-200043,SKU-00318,LOC-014,IN,22.0kg,135.44,OP-022,2026-06-03T05:12:26,
TXN-200044,SKU-00217,LOC-005,ADJUST,191.0,259.02,OP-038,2026-06-09T17:12:26,DOC-9631
TXN-200045,SKU-00453,LOC-001,IN,122.0kg,68.37,OP-025,2026-06-04T03:12:26,
TXN-200046,SKU-00112,LOC-008,OUT,87.0kg,413.55,OP-012,2026-06-21T21:12:26,DOC-1484
TXN-200047,SKU-00295,LOC-002,IN,78.0 KG,460.03,OP-034,2026-05-27T00:12:26,DOC-6316
TXN-200048,SKU-00302,LOC-003,IN,89.0kg,369.25,OP-049,2026-06-04T05:12:26,
TXN-200049,SKU-00454,LOC-015,ADJUST,128.0 KG,585.32,OP-017,2026-05-31T14:12:26,DOC-3275
TXN-200050,SKU-00211,LOC-018,OUT,181.0kg,404.68,OP-010,2026-06-14T13:12:26,DOC-2596
TXN-200051,SKU-00063,LOC-014,IN,41.0 KG,740.04,OP-030,2026-06-09T22:12:26,DOC-1715
TXN-200052,SKU-00361,LOC-005,OUT,76.0 KG,632.54,OP-023,2026-06-11T12:12:26,DOC-3144
TXN-200053,SKU-00002,LOC-018,OUT,186.0 KG,782.84,OP-006,2026-06-18T20:12:26,
TXN-200054,SKU-00384,LOC-008,OUT,60.0 KG,694.06,OP-038,2026-06-25T13:12:26,
TXN-200055,SKU-00349,LOC-005,ADJUST,70.0,162.96,OP-025,2026-06-17T02:12:26,
TXN-200056,SKU-00197,LOC-003,OUT,79.0 KG,659.02,OP-025,2026-06-16T10:12:26,DOC-9769
TXN-200057,SKU-00222,LOC-018,ADJUST,115.0kg,655.09,OP-010,2026-06-20T05:12:26,DOC-9904
TXN-200058,SKU-00165,LOC-002,OUT,29.0 KG,669.14,OP-025,2026-06-22T17:12:26,
TXN-200059,SKU-00303,LOC-020,OUT,88.0kg,292.67,OP-020,2026-06-11T14:12:26,
TXN-200060,SKU-00123,LOC-004,IN,15.0kg,438.17,OP-047,2026-05-31T13:12:26,
TXN-200061,SKU-00247,LOC-008,IN,158.0,794.74,OP-044,2026-06-09T09:12:26,DOC-2429
TXN-200062,SKU-00052,LOC-020,OUT,91.0kg,462.17,OP-011,2026-06-06T11:12:26,
TXN-200063,SKU-00267,LOC-004,ADJUST,82.0 KG,744.05,OP-038,2026-06-07T11:12:26,DOC-8929
TXN-200064,SKU-00070,LOC-007,IN,181.0kilogram,465.23,OP-039,2026-06-11T20:12:26,DOC-9337
TXN-200065,SKU-00390,LOC-018,OUT,86.0kilogram,241.83,OP-033,2026-06-20T05:12:26,DOC-1482
TXN-200066,SKU-00094,LOC-008,OUT,102.0kg,4.53,OP-044,2026-06-03T02:12:26,DOC-3582
TXN-200067,SKU-00336,LOC-016,OUT,3.0 KG,142.83,OP-027,2026-06-06T12:12:26,DOC-3816
TXN-200068,SKU-00296,LOC-001,OUT,175.0,587.46,OP-021,2026-06-24T19:12:26,
TXN-200069,SKU-00146,LOC-003,ADJUST,157.0kg,747.22,OP-008,2026-06-10T11:12:26,
TXN-200070,SKU-00269,LOC-020,IN,147.0kilogram,744.55,OP-004,2026-06-04T10:12:26,DOC-8589
TXN-200071,SKU-00395,LOC-005,ADJUST,28.0,210.33,OP-002,2026-06-25T03:12:26,DOC-3147
TXN-200072,SKU-00327,LOC-010,OUT,106.0kg,552.32,OP-043,2026-06-22T23:12:26,
TXN-200073,SKU-00018,LOC-019,IN,3.0kilogram,769.47,OP-016,2026-06-07T20:12:26,DOC-6802
TXN-200074,SKU-00011,LOC-019,WRITE_OFF,34.0 KG,771.48,OP-036,2026-06-23T22:12:26,DOC-5443
TXN-200075,SKU-00480,LOC-012,OUT,103.0kilogram,435.35,OP-019,2026-05-30T04:12:26,DOC-3330
TXN-200076,SKU-00236,LOC-004,IN,50.0,63.38,OP-033,2026-06-06T09:12:26,
TXN-200077,SKU-00370,LOC-013,ADJUST,198.0kg,182.97,OP-023,2026-06-25T18:12:26,DOC-9302
TXN-200078,SKU-00360,LOC-003,WRITE_OFF,138.0kg,189.17,OP-008,2026-06-02T12:12:26,
TXN-200079,SKU-00136,LOC-004,OUT,145.0kilogram,456.50,OP-026,2026-06-10T18:12:26,DOC-3478
TXN-200080,SKU-00464,LOC-017,WRITE_OFF,26.0kilogram,736.30,OP-033,2026-06-14T20:12:26,DOC-9563
TXN-200081,SKU-00217,LOC-005,ADJUST,11.0kg,363.18,OP-049,2026-05-29T18:12:26,DOC-5642
TXN-200082,SKU-00450,LOC-018,OUT,71.0kg,351.60,OP-043,2026-06-20T05:12:26,DOC-6815
TXN-200083,SKU-00126,LOC-008,IN,51.0 KG,375.05,OP-041,2026-06-16T12:12:26,DOC-4859
TXN-200084,SKU-00175,LOC-004,IN,181.0 KG,539.54,OP-003,2026-06-23T19:12:26,DOC-9044
TXN-200085,SKU-00289,LOC-007,ADJUST,10.0kilogram,304.87,OP-024,2026-05-31T23:12:26,
TXN-200086,SKU-00005,LOC-019,OUT,45.0kg,679.94,OP-033,2026-06-18T19:12:26,DOC-9449
TXN-200087,SKU-00359,LOC-010,IN,48.0,600.44,OP-035,2026-05-29T21:12:26,DOC-1044
TXN-200088,SKU-00170,LOC-013,ADJUST,44.0kg,216.93,OP-021,2026-06-17T11:12:26,
TXN-200089,SKU-00027,LOC-006,OUT,170.0kg,799.85,OP-002,2026-06-10T23:12:26,DOC-5359
TXN-200090,SKU-00054,LOC-010,WRITE_OFF,74.0 KG,277.42,OP-021,2026-05-29T20:12:26,DOC-3291
TXN-200091,SKU-00160,LOC-008,IN,114.0kilogram,651.91,OP-034,2026-06-13T05:12:26,
TXN-200092,SKU-00297,LOC-020,ADJUST,5.0kilogram,570.20,OP-002,2026-06-15T05:12:26,
TXN-200093,SKU-00264,LOC-016,IN,136.0,623.53,OP-037,2026-06-01T09:12:26,DOC-8503
TXN-200094,SKU-00138,LOC-019,OUT,81.0kg,103.12,OP-008,2026-06-14T20:12:26,
TXN-200095,SKU-00426,LOC-001,OUT,200.0,234.56,OP-017,2026-06-21T17:12:26,DOC-3683
TXN-200096,SKU-00027,LOC-012,OUT,135.0,72.24,OP-029,2026-06-14T06:12:26,DOC-6100
TXN-200097,SKU-00222,LOC-004,OUT,120.0 KG,292.59,OP-033,2026-06-23T18:12:26,DOC-3780
TXN-200098,SKU-00160,LOC-003,IN,99.0kg,602.88,OP-003,2026-06-19T13:12:26,DOC-7298
TXN-200099,SKU-00223,LOC-011,IN,184.0,26.57,OP-040,2026-06-19T05:12:26,
TXN-200100,SKU-00227,LOC-010,OUT,17.0kilogram,640.96,OP-023,2026-06-14T17:12:26,
TXN-200101,SKU-00220,LOC-018,IN,89.0kilogram,567.67,OP-014,2026-06-09T10:12:26,DOC-3270
TXN-200102,SKU-00201,LOC-016,ADJUST,39.0,388.55,OP-019,2026-06-14T10:12:26,DOC-6257
TXN-200103,SKU-00190,LOC-014,OUT,163.0kilogram,85.16,OP-045,2026-06-17T03:12:26,DOC-8804
TXN-200104,SKU-00030,LOC-006,OUT,134.0kilogram,49.96,OP-003,2026-06-03T15:12:26,DOC-4040
TXN-200105,SKU-00428,LOC-003,ADJUST,14.0kg,156.38,OP-046,2026-06-25T00:12:26,DOC-9217
